
 Cta.mayor               4000850000  EMRF CAPEX
 Sociedad                1167

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Ejerc./mes|Lib.mayor |Material          |Cta.CP    |Texto cab.documento      |Referencia      |Doc.comp. |Nº doc.   |Pos|Asignación        |Texto                              |Div.|Fecha doc.|Fe.contab.|CT|       Importe en ML|       Importe en MD|ML   |Mon. |II|Usuario     |Elemento PEP            |Nombre de la cuenta                |Clave de referencia |         Cantidad| Año|
|   2019/01   |4000850000|10106110575       |3000087597|GBT-DX-ROUTER*-CP*PWR*COR|91877908        |          |1900000787|  2|940210948000045   |GBT-DX-ROUTER*-CP*PWR*CORD*NA=***- |    |06.01.2019|25.01.2019|86|         19.734.569 |           6.150,60 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076601332019      |         510,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|GBT-DX-ROUTER*-CP*PWR*COR|91877908        |          |1900000787|  3|940210948000046   |GBT-DX-ROUTER*-CP*PWR*CORD*NA=***- |    |06.01.2019|25.01.2019|86|         19.734.569 |           6.150,60 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076601332019      |         510,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|GBT-DX-ROUTER*-CP*PWR*COR|91877908        |          |1900000787|  4|940210948000047   |GBT-DX-ROUTER*-CP*PWR*CORD*NA=***- |    |06.01.2019|25.01.2019|86|         19.734.569 |           6.150,60 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076601332019      |         510,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|GBT-DX-ROUTER*-CP*PWR*COR|91877908        |          |1900000787|  5|940210948000048   |GBT-DX-ROUTER*-CP*PWR*CORD*NA=***- |    |06.01.2019|25.01.2019|86|         19.734.569 |           6.150,60 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076601332019      |         510,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|GBT-DX-ROUTER*-CP*PWR*COR|91877908        |          |1900000787|  6|940210948000049   |GBT-DX-ROUTER*-CP*PWR*CORD*NA=***- |    |06.01.2019|25.01.2019|86|         19.734.569 |           6.150,60 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076601332019      |         510,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|GBT-DX-ROUTER*-CP*PWR*COR|91877908        |          |1900000787|  7|940210948000050   |GBT-DX-ROUTER*-CP*PWR*CORD*NA=***- |    |06.01.2019|25.01.2019|86|         19.695.874 |           6.138,54 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076601332019      |         509,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|GBT-DX-ROUTER*-CP*PWR*COR|91877908        |          |1900000787|  8|940210948000051   |GBT-DX-ROUTER*-CP*PWR*CORD*NA=***- |    |06.01.2019|25.01.2019|86|             36.321 |              11,32 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076601332019      |           1,000 |2019|
|   2018/01   |4000850000|10106111059       |3000087597|69648/ SERV              |90160109        |          |1900000870|  2|940157045900006   |                                   |    |10.01.2018|25.01.2018|86|          3.064.998 |           1.072,24 |COP  |USD  |N0|GP608028    |P-1167-17-4002-02773-201|                                   |51068676602018      |           1,000 |2018|
|   2019/01   |4000850000|                  |3000087597|                         |91948499        |          |1900001167|  2|940212035700021   |                                   |    |27.01.2019|31.01.2019|86|          1.252.639 |             397,59 |COP  |USD  |P4|GP583904    |P-1167-18-4002-03249-201|                                   |51076720272019      |           1,000 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |91948499        |          |1900001167|  3|940212035700022   |                                   |    |27.01.2019|31.01.2019|86|            413.986 |             131,40 |COP  |USD  |P4|GP583904    |P-1167-18-4002-03249-201|                                   |51076720272019      |           1,000 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |91887599        |          |1900001177|  2|940205887400002   |                                   |    |09.01.2019|31.01.2019|86|          3.621.742 |           1.157,82 |COP  |USD  |P4|GP862692    |P-1167-18-5002-03197-201|                                   |51076721522019      |           2,000 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |91899560        |          |1900001178|  2|940223285700003   |                                   |    |11.01.2019|31.01.2019|86|         17.607.816 |           5.587,14 |COP  |USD  |P4|GP862692    |P-1167-19-4002-03334-201|                                   |51076721532019      |          58,000 |2019|
|   2018/01   |4000850000|10106111054       |3000087597|42086/TEL-DX-CP*7861-K9**|90160177        |          |1900001181|  2|940164313600001   |                                   |    |10.01.2018|31.01.2018|86|          3.278.622 |           1.153,36 |COP  |USD  |N0|GP583904    |P-1167-18-4005-77777-221|                                   |51068767702018      |           8,000 |2018|
|   2018/01   |4000850000|10106111054       |3000087597|42086/TEL-DX-CP*7861-K9**|90160177        |          |1900001181|  3|940164313600002   |                                   |    |10.01.2018|31.01.2018|86|            410.027 |             144,24 |COP  |USD  |N0|GP583904    |P-1167-18-4005-77777-221|                                   |51068767702018      |           1,000 |2018|
|   2019/01   |4000850000|                  |3000087597|                         |60006350        |          |1900001182|  2|940205884800002   |                                   |    |01.01.2019|31.01.2019|86|          2.671.404 |             851,40 |COP  |USD  |P4|GP862692    |P-1167-18-4002-00550-201|                                   |51076721592019      |           1,000 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |60006351        |          |1900001183|  2|940206848500012   |                                   |    |01.01.2019|31.01.2019|86|          3.708.526 |           1.181,94 |COP  |USD  |P4|GP669124    |P-1167-18-4002-03218-201|                                   |51076721682019      |           3,000 |2019|
|   2019/01   |4000850000|10106111066       |3000087597|                         |91953654        |          |1900001184|  2|940217941000001   |                                   |    |28.01.2019|31.01.2019|86|          9.948.221 |           3.140,36 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03284-201|                                   |51076721972019      |           1,000 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |91925807        |          |1900001185|  2|940212035700014   |                                   |    |21.01.2019|31.01.2019|86|          2.777.923 |             890,20 |COP  |USD  |P4|GP862692    |P-1167-18-4002-03249-201|                                   |51076722002019      |          10,000 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |91925807        |          |1900001185|  3|940212035700015   |                                   |    |21.01.2019|31.01.2019|86|          7.564.549 |           2.424,10 |COP  |USD  |P4|GP862692    |P-1167-18-4002-03249-201|                                   |51076722002019      |          10,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|                         |60006396        |          |1900001186|  2|940210948000059   |                                   |    |01.01.2019|31.01.2019|86|         20.098.595 |           6.405,60 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076722132019      |         510,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|                         |60006396        |          |1900001186|  3|940210948000060   |                                   |    |01.01.2019|31.01.2019|86|         20.098.595 |           6.405,60 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076722132019      |         510,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|                         |60006396        |          |1900001186|  4|940210948000061   |                                   |    |01.01.2019|31.01.2019|86|         20.059.186 |           6.393,04 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076722132019      |         509,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|                         |60006396        |          |1900001186|  5|940210948000062   |                                   |    |01.01.2019|31.01.2019|86|             43.551 |              13,88 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076722132019      |           1,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|                         |60006395        |          |1900001187|  2|940210948000063   |                                   |    |01.01.2019|31.01.2019|86|         20.098.595 |           6.405,60 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076722152019      |         510,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|                         |60006395        |          |1900001187|  3|940210948000064   |                                   |    |01.01.2019|31.01.2019|86|         20.059.186 |           6.393,04 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076722152019      |         509,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|                         |60006395        |          |1900001187|  4|940210948000065   |                                   |    |01.01.2019|31.01.2019|86|             42.170 |              13,44 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076722152019      |           1,000 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |60006390        |          |1900001195|  2|940207933800013   |                                   |    |01.01.2019|31.01.2019|86|          1.063.008 |             338,79 |COP  |USD  |P4|GP862692    |P-1167-18-5002-03210-201|                                   |51076723022019      |           1,000 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |60006390        |          |1900001195|  3|940207933800014   |                                   |    |01.01.2019|31.01.2019|86|            887.958 |             283,00 |COP  |USD  |P4|GP862692    |P-1167-18-5002-03210-201|                                   |51076723022019      |          50,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|                         |60006391        |          |1900001198|  2|940210948000066   |                                   |    |01.01.2019|31.01.2019|86|         20.098.595 |           6.405,60 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076723102019      |         510,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|                         |60006391        |          |1900001198|  3|940210948000067   |                                   |    |01.01.2019|31.01.2019|86|         20.098.595 |           6.405,60 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076723102019      |         510,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|                         |60006391        |          |1900001198|  4|940210948000068   |                                   |    |01.01.2019|31.01.2019|86|         20.098.595 |           6.405,60 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076723102019      |         510,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|                         |60006391        |          |1900001198|  5|940210948000069   |                                   |    |01.01.2019|31.01.2019|86|         20.059.186 |           6.393,04 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076723102019      |         509,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|                         |60006391        |          |1900001198|  6|940210948000070   |                                   |    |01.01.2019|31.01.2019|86|             35.299 |              11,25 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076723102019      |           1,000 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |60006394        |          |1900001200|  2|940205888500003   |                                   |    |31.01.2019|31.01.2019|86|            677.609 |             215,96 |COP  |USD  |P4|GP862692    |P-1167-18-5002-03206-201|                                   |51076723382019      |           1,000 |2019|
|   2019/01   |4000850000|10106110497       |3000087597|                         |91950111        |          |1900001201|  2|940217940000001   |                                   |    |28.01.2019|31.01.2019|86|          5.547.556 |           1.751,20 |COP  |USD  |N0|GP669124    |P-1167-18-4002-03249-201|                                   |51076723642019      |           4,000 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |60005865        |          |1900001208|  2|940205760100001   |                                   |    |01.12.2018|31.01.2019|86|        266.099.767 |          84.808,35 |COP  |USD  |P4|GP583904    |P-1167-18-4002-02836-201|                                   |51076725322019      |      28.269,450 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |60005865        |          |1900001208|  3|940205760100002   |                                   |    |01.12.2018|31.01.2019|86|         36.594.842 |          11.663,10 |COP  |USD  |P4|GP583904    |P-1167-18-4002-02836-201|                                   |51076725322019      |       3.887,700 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |60005865        |          |1900001208|  4|940205760100003   |                                   |    |01.12.2018|31.01.2019|86|          2.384.276 |             759,89 |COP  |USD  |P4|GP583904    |P-1167-18-4002-02836-201|                                   |51076725322019      |         759,890 |2019|
|   2019/01   |4000850000|10106181032       |3000087597|                         |60006388        |          |1900001212|  2|940210948000071   |                                   |    |01.01.2019|31.01.2019|86|        125.169.102 |          39.892,50 |COP  |USD  |N0|GP583904    |P-1167-18-4002-03233-201|                                   |51076725872019      |         985,000 |2019|
|   2019/01   |4000850000|10106181032       |3000087597|                         |60006388        |          |1900001212|  3|940210948000072   |                                   |    |01.01.2019|31.01.2019|86|            137.900 |              43,95 |COP  |USD  |N0|GP583904    |P-1167-18-4002-03233-201|                                   |51076725872019      |           1,000 |2019|
|   2019/01   |4000850000|10106110892       |3000087597|                         |91953795        |          |1900001213|  2|940221220100001   |                                   |    |28.01.2019|31.01.2019|86|          4.096.518 |           1.293,15 |COP  |USD  |N0|GP669124    |P-1167-18-5002-03293-201|                                   |51076726312019      |           1,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|                         |91950154        |          |1900001214|  2|940211510100004   |                                   |    |28.01.2019|31.01.2019|86|            234.168 |              73,92 |COP  |USD  |N0|GP583904    |P-1167-18-5002-03247-201|                                   |51076726352019      |          14,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|                         |91950154        |          |1900001214|  3|940211510100005   |                                   |    |28.01.2019|31.01.2019|86|             16.885 |               5,33 |COP  |USD  |N0|GP583904    |P-1167-18-5002-03247-201|                                   |51076726352019      |           1,000 |2019|
|   2019/01   |4000850000|10106110892       |3000087597|                         |91950157        |          |1900001215|  2|940217933800001   |                                   |    |28.01.2019|31.01.2019|86|          4.690.017 |           1.480,50 |COP  |USD  |N0|GP583904    |P-1167-18-4002-03253-201|                                   |51076726382019      |           1,000 |2019|
|   2019/01   |4000850000|10106111054       |3000087597|                         |91953566        |          |1900001216|  2|940211510100002   |                                   |    |28.01.2019|31.01.2019|86|            521.176 |             164,52 |COP  |USD  |N0|GP669124    |P-1167-18-5002-03247-201|                                   |51076726392019      |           1,000 |2019|
|   2019/01   |4000850000|10106110563       |3000087597|                         |91953566        |          |1900001216|  3|940211510100003   |                                   |    |28.01.2019|31.01.2019|86|          1.093.387 |             345,15 |COP  |USD  |N0|GP669124    |P-1167-18-5002-03247-201|                                   |51076726392019      |          15,000 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |91950183        |          |1900001218|  2|940212035700016   |                                   |    |28.01.2019|31.01.2019|86|          1.079.797 |             340,86 |COP  |USD  |P4|GP583904    |P-1167-18-4002-03249-201|                                   |51076726612019      |           1,000 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |91950183        |          |1900001218|  3|940212035700017   |                                   |    |28.01.2019|31.01.2019|86|          1.873.124 |             591,29 |COP  |USD  |P4|GP583904    |P-1167-18-4002-03249-201|                                   |51076726612019      |           1,000 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |91950183        |          |1900001218|  4|940212035700018   |                                   |    |28.01.2019|31.01.2019|86|            448.252 |             141,50 |COP  |USD  |P4|GP583904    |P-1167-18-4002-03249-201|                                   |51076726612019      |          25,000 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |91950183        |          |1900001218|  5|940212035700019   |                                   |    |28.01.2019|31.01.2019|86|          2.224.788 |             702,30 |COP  |USD  |P4|GP583904    |P-1167-18-4002-03249-201|                                   |51076726612019      |           2,000 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |91950183        |          |1900001218|  6|940212035700023   |                                   |    |28.01.2019|31.01.2019|86|          2.159.594 |             681,72 |COP  |USD  |P4|GP583904    |P-1167-18-4002-03249-201|                                   |51076726612019      |           2,000 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |91950183        |          |1900001218|  7|940212035700024   |                                   |    |28.01.2019|31.01.2019|86|          3.746.248 |           1.182,58 |COP  |USD  |P4|GP583904    |P-1167-18-4002-03249-201|                                   |51076726612019      |           2,000 |2019|
|   2019/01   |4000850000|10106110906       |3000087597|                         |91958422        |          |1900001220|  2|940217933800002   |                                   |    |29.01.2019|31.01.2019|86|          3.018.732 |             954,25 |COP  |USD  |N0|GP669124    |P-1167-18-4002-03253-201|                                   |51076726642019      |           1,000 |2019|
|   2019/01   |4000850000|10106120242       |3000087597|                         |91964760        |          |1900001221|  2|940212634700004   |                                   |    |29.01.2019|31.01.2019|86|         14.233.577 |           4.499,37 |COP  |USD  |N0|GP671056    |P-1167-18-4002-03230-201|                                   |51076726592019      |           1,000 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |91965087        |          |1900001222|  2|940221206800004   |                                   |    |29.01.2019|31.01.2019|86|          7.136.576 |           2.255,94 |COP  |USD  |P4|GP669124    |P-1167-18-4002-03274-201|                                   |51076726672019      |           2,000 |2019|
|   2019/01   |4000850000|                  |3000087597|                         |91964824        |          |1900001225|  2|940217953100002   |                                   |    |29.01.2019|31.01.2019|86|            475.911 |             150,44 |COP  |USD  |P4|GP669124    |P-1167-18-4002-03301-201|                                   |51076727032019      |           1,000 |2019|
|   2019/01   |4000850000|10106181485       |3000087597|                         |91965133        |          |1900001226|  2|940211510100006   |                                   |    |29.01.2019|31.01.2019|86|          3.793.779 |           1.199,25 |COP  |USD  |N0|GP671056    |P-1167-18-5002-03247-201|                                   |51076726972019      |          15,000 |2019|
|   2019/01   |4000850000|10106111066       |3000087597|                         |91965133        |          |1900001226|  3|940211510100007   |                                   |    |29.01.2019|31.01.2019|86|          8.929.815 |           2.822,80 |COP  |USD  |N0|GP671056    |P-1167-18-5002-03247-201|                                   |51076726972019      |           1,000 |2019|
|   2019/01   |4000850000|10106111078       |3000087597|                         |91948512        |          |1900001227|  2|940212035700020   |                                   |    |27.01.2019|31.01.2019|86|         77.839.805 |          24.706,50 |COP  |USD  |N0|GP669124    |P-1167-18-4002-03249-201|                                   |51076727072019      |           7,000 |2019|
|   2019/01   |4000850000|10106111078       |3000087597|                         |91948512        |          |1900001227|  3|940212035700025   |                                   |    |27.01.2019|31.01.2019|86|         30.174.617 |           9.577,48 |COP  |USD  |N0|GP669124    |P-1167-18-4002-03249-201|                                   |51076727072019      |           1,000 |2019|
|   2019/01   |4000850000|10106110905       |3000087597|                         |91948488        |          |1900001229|  2|940217941100003   |                                   |    |27.01.2019|31.01.2019|86|         24.574.209 |           7.799,90 |COP  |USD  |N0|GP671056    |P-1167-18-4002-03271-201|                                   |51076726982019      |           1,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|                         |91892873        |          |1900001230|  2|940210948000073   |                                   |    |10.01.2019|31.01.2019|86|         19.221.540 |           6.128,36 |COP  |USD  |N0|GP583904    |P-1167-18-4002-03233-201|                                   |51076727212019      |         509,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|                         |91892873        |          |1900001230|  3|940210948000074   |                                   |    |10.01.2019|31.01.2019|86|             39.551 |              12,61 |COP  |USD  |N0|GP583904    |P-1167-18-4002-03233-201|                                   |51076727212019      |           1,000 |2019|
|   2019/02   |4000850000|                  |3000087597|                         |91899579        |          |1900001238|  2|940223285700002   |                                   |    |11.01.2019|06.02.2019|86|         22.391.336 |           7.105,00 |COP  |USD  |P4|GP583904    |P-1167-19-4002-03334-201|                                   |51076765482019      |          58,000 |2019|
|   2019/02   |4000850000|10106120220       |3000087597|                         |60006358        |          |1900001240|  2|940169612400001   |                                   |    |01.01.2019|06.02.2019|86|          9.774.438 |           3.115,20 |COP  |USD  |P4|GP583904    |P-1167-18-5002-02813-201|                                   |51076766112019      |          16,000 |2019|
|   2019/02   |4000850000|10106120221       |3000087597|                         |60006358        |          |1900001240|  3|940169612400005   |                                   |    |01.01.2019|06.02.2019|86|          4.574.708 |           1.458,00 |COP  |USD  |P4|GP583904    |P-1167-18-5002-02813-201|                                   |51076766112019      |           2,000 |2019|
|   2019/02   |4000850000|10106120222       |3000087597|                         |60006358        |          |1900001240|  4|940169612400006   |                                   |    |01.01.2019|06.02.2019|86|          7.166.604 |           2.284,06 |COP  |USD  |P4|GP583904    |P-1167-18-5002-02813-201|                                   |51076766112019      |           1,000 |2019|
|   2019/02   |4000850000|                  |3000087597|                         |60006357        |          |1900001241|  2|940169612400002   |                                   |    |01.01.2019|06.02.2019|86|          6.777.346 |           2.160,00 |COP  |USD  |P4|GP671056    |P-1167-18-9002-30400-201|                                   |51076766122019      |          16,000 |2019|
|   2019/02   |4000850000|                  |3000087597|                         |60006357        |          |1900001241|  3|940169612400003   |                                   |    |01.01.2019|06.02.2019|86|            804.810 |             256,50 |COP  |USD  |P4|GP671056    |P-1167-18-5002-02813-201|                                   |51076766122019      |           2,000 |2019|
|   2019/02   |4000850000|                  |3000087597|                         |60006357        |          |1900001241|  4|940169612400004   |                                   |    |01.01.2019|06.02.2019|86|         14.119.470 |           4.500,00 |COP  |USD  |P4|GP671056    |P-1167-18-5002-02813-201|                                   |51076766122019      |           1,000 |2019|
|   2019/02   |4000850000|                  |3000087597|                         |91904546        |          |1900001243|  2|940222557000003   |                                   |    |14.01.2019|06.02.2019|86|            282.890 |              90,00 |COP  |USD  |P4|GP671056    |P-1167-19-5002-03354-201|                                   |51076766482019      |           1,000 |2019|
|   2019/02   |4000850000|10106181666       |3000087597|TEL-DX-CP*DX80-K9********|91990145        |          |1900001373|  2|940222046800002   |TEL-DX-CP*DX80-K9****************- |    |01.02.2019|08.02.2019|86|         49.602.171 |          15.987,24 |COP  |USD  |N0|GP671056    |P-1167-19-4002-03346-201|                                   |51076811112019      |           9,000 |2019|
|   2019/02   |4000850000|10106181666       |3000087597|TEL-DX-CP*DX80-K9********|91990145        |          |1900001373|  3|940222046800003   |TEL-DX-CP*DX80-K9****************- |    |01.02.2019|08.02.2019|86|          5.511.259 |           1.776,33 |COP  |USD  |N0|GP671056    |P-1167-19-4002-03346-201|                                   |51076811112019      |           1,000 |2019|
|   2019/02   |4000850000|                  |3000087597|CON-PSRT-AIR3829         |91994454        |          |1900001375|  2|940223285700004   |CON-PSRT-AIR3829                   |    |03.02.2019|08.02.2019|86|         13.436.970 |           4.330,86 |COP  |USD  |P4|GP671056    |P-1167-19-4002-03334-201|                                   |51076811532019      |          58,000 |2019|
|   2019/02   |4000850000|                  |3000087597|CON-PSRT-CDPX80KG        |91990223        |          |1900001381|  2|940222046800004   |CON-PSRT-CDPX80KG                  |    |01.02.2019|08.02.2019|86|          9.419.214 |           3.035,90 |COP  |USD  |P4|GP671056    |P-1167-19-4002-03346-201|                                   |51076812922019      |          10,000 |2019|
|   2019/02   |4000850000|                  |3000087597|CON-PSRT-CP8831K9        |91990219        |          |1900001382|  2|940223285700005   |CON-PSRT-CP8831K9                  |    |01.02.2019|08.02.2019|86|          7.727.360 |           2.490,60 |COP  |USD  |P4|GP671056    |P-1167-19-4002-03334-201|                                   |51076813062019      |          42,000 |2019|
|   2019/02   |4000850000|                  |3000087597|CON-PSRT-CP8831K9        |91990219        |          |1900001382|  3|940223285700006   |CON-PSRT-CP8831K9                  |    |01.02.2019|08.02.2019|86|          7.343.071 |           2.366,74 |COP  |USD  |P4|GP671056    |P-1167-19-4002-03334-201|                                   |51076813062019      |           1,000 |2019|
|   2019/02   |4000850000|                  |3000087597|CON-PSRT-CP8831K9        |91990219        |          |1900001382|  4|940223285700007   |CON-PSRT-CP8831K9                  |    |01.02.2019|08.02.2019|86|          4.093.894 |           1.319,50 |COP  |USD  |P4|GP671056    |P-1167-19-4002-03334-201|                                   |51076813062019      |           1,000 |2019|
|   2019/02   |4000850000|10106181390       |3000087597|TEL-DX-CP*8821-K9*BUN****|92014774        |          |1900001608|  2|940223285700008   |TEL-DX-CP*8821-K9*BUN************- |    |06.02.2019|18.02.2019|86|          2.104.109 |             676,88 |COP  |USD  |N0|GP583904    |P-1167-19-4002-03334-201|                                   |51076963072019      |           2,000 |2019|
|   2019/02   |4000850000|10106110914       |3000087597|FLETE INTERNAC. ABS      |92014849        |          |1900001610|  3|940214177600006   |FLETE INTERNAC. ABS                |    |06.02.2019|18.02.2019|86|         21.697.765 |           6.980,05 |COP  |USD  |N0|GP583904    |P-1167-18-8002-20297-201|                                   |51076963862019      |           1,000 |2019|
